painting,painting_style,painting_subject,museum,museum_city,museum_country,artist,artist_nationality,artist_style,artist_birth,artist_death
Still Life with Flowers and a Watch,Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
Still Life with Fruit and a Beaker on a Cock's Foot,Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
Still Life with Fruit and a Goldfinch,Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
Still Life with Fruit and Oysters,Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
"Still Life with Fruit, Oysters, and a Porcelain Bowl",Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
The Overturned Bouquet,Baroque,Still-Life,Rijksmuseum,Amsterdam,Netherlands,Abraham Mignon,Dutch,Baroque,1640,1679
Arabian Horses at Pasture,Baroque,Horses,,,,Albrecht Adam,German,Baroque,1786,1862
Count Halm on His Basedow Estate,Baroque,,,,,Albrecht Adam,German,Baroque,1786,1862
Horses at the Porch,Baroque,Horses,The State Hermitage Museum,2,Russia,Albrecht Adam,German,Baroque,1786,1862
Napoleon Before the Burning City of Smolensk,Baroque,Horses,,,,Albrecht Adam,German,Baroque,1786,1862
Peasants Resting in the Field,Baroque,,,,,Albrecht Adam,German,Baroque,1786,1862
Portrait Oberleutnant Theodor Von Klein,Baroque,,,,,Albrecht Adam,German,Baroque,1786,1862
The Rescue of Count Munnich,Baroque,,,,,Albrecht Adam,German,Baroque,1786,1862
The Stable Yard,Baroque,,,,,Albrecht Adam,German,Baroque,1786,1862
Jacob A. Stamler Departing Le Havre,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
Kaleda off Le Havre,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
R. Bell &amp; Co. Steamship Bothal in a Heavy Swell,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
Steam Sailing Ship Finsbury in a Stormy Sea,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The American Ship Olive S Southard in French Waters,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The Atalanta Running Under Reduced Sail in a Gale,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The Auxiliary Steamer County of Sutherland at Sea Under Steam and Sail,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The Auxiliary Steamer Rishanglys Calling for a Pilot Off a Headland,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The Barquentine Herdis of the American Star Line,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The First French Steam Battlefleet in Formation at Sea,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The French Brig Dieudonne in Full Sail Off a Headland,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The Full-Rigger King Ceolric Running Under Full Sail,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The Richard Rylands Passing the Fastnet Rock,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The Ship Jacob A. Stamler,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
The Three-Master Hahnemann in Full Sail Off a Headland,,Marine Art/Maritime,,,,Édouard Adam,American,Marine Art,1847,1929
Comedian Tournelle,Neo-Classicism,Portraits,,,,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Madame de Genlis,Neo-Classicism,Portraits,Los Angeles County Museum of Art,Los Angeles,USA,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Monsieur Meunier,Neo-Classicism,Portraits,,,,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Pierre Roch Vigneron,Neo-Classicism,Portraits,,,,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Portrait de Madame La Comtesse de Lameth,Neo-Classicism,Portraits,,,,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Portrait of a Man,Neo-Classicism,Portraits,,,,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Portrait of a Woman,Neo-Classicism,Portraits,,,,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Portrait of Gaspard Gilbert Delamalle,Neo-Classicism,Portraits,,,,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Portrait of Madame Labille-Guyard and Her Pupils,Neo-Classicism,,The Metropolitan Museum of Art,New York,USA,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Portrait of the Duchesse D'Aiguillon,Neo-Classicism,Portraits,,,,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Portrait of the Painter Vincent,Neo-Classicism,Portraits,Musée du Louvre,75001,France,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Self-Portrait,Neo-Classicism,Portraits,,,,Adélaïde Labille-Guiard,French,Neoclassical,1749,1803
Jean-Dominique Fabry Garat Playing Lyre,,Musics,,,,Adèle Romany,French,Portraitist,1769,1846
Jean-Dominique Fabry Garat Playing Lyre,,Portraits,,,,Adèle Romany,French,Portraitist,1769,1846
Portrait d'Aglae´-Constance Boudard en Robe de Velours Rouge,,Portraits,,,,Adèle Romany,French,Portraitist,1769,1846
Portrait d'Ame´lie-Justine et de Charles-Edouard Pontois,,Portraits,,,,Adèle Romany,French,Portraitist,1769,1846
Portrait d'Ame´lie-Justine Laidin de la Bouterie,,Portraits,,,,Adèle Romany,French,Portraitist,1769,1846
Portrait de la Famille de l'Artiste Posant Devant le Cha^teau de Juilly,,Portraits,National Gallery of Art,Washington,USA,Adèle Romany,French,Portraitist,1769,1846
Portrait of a Lady,,Portraits,,,,Adèle Romany,French,Portraitist,1769,1846
Portrait of a Mother and Child,,Portraits,,,,Adèle Romany,French,Portraitist,1769,1846
"Portrait of a Young Lady, seated in a White Dress Holding a Lyre",,Musics,,,,Adèle Romany,French,Portraitist,1769,1846
"Portrait of a Young Lady, seated in a White Dress Holding a Lyre",,Portraits,,,,Adèle Romany,French,Portraitist,1769,1846
"Portrait of Auguste Vestris, French Dancer",,Dancers,National Gallery,London,UK,Adèle Romany,French,Portraitist,1769,1846
"Portrait of Auguste Vestris, French Dancer",,Portraits,National Gallery,London,UK,Adèle Romany,French,Portraitist,1769,1846
George Washington,,Portraits,The Metropolitan Museum of Art,New York,USA,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811
George Washington,,U.S. Presidents,The Metropolitan Museum of Art,New York,USA,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811
Henri Bertholet Campan with His Dog Aline,,Dogs,,,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811
Henri Bertholet Campan with His Dog Aline,,Portraits,,,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811
Mrs. Sims of Philadelphia,,Portraits,,,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811
Portrait of Mr. Lyttkens,,Portraits,,,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811
Portrait of Stanislas de Clermont Tonnerre,,Portraits,,,,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811
Portrait of the Queen,,Portraits,The Tate Gallery,London,UK,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811
Queen Marie Antoinette of France and Two of Her Children,,Portraits,The Metropolitan Museum of Art,New York,USA,Adolph Ulrich Wertmuller,Swiss,Portraitist,1751,1811
"Barend Klijn Barendsz, Poet",,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
"Cornelis Sebille Roos, Amsterdam Art Dealer and Keeper of the Nationale Konst-Gallery in Huis ten Bosch, The Hague",,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
General Daendels Taking Leave of Lieutenant-Colonel Krayenhoff,,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
"Jonkheer Gysbert Carel Rutger Reinier van Brienen van Ramerus, with his Wife and four of their Children",,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
Morning Visit,,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
"Portrait of Albertus Henricus Wiese, Governor-General of the Dutch East Indies",,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
"Portrait of Gerrit Verdooren, Vice-admiral",,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
Portrait of Hendrick de Hartog,,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
Portrait of the Family of Adrianus Bonebakker with Dirk L. Bennewitz,,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
"Portrait of Wilhelmina Maria Haack, fourth Wife of Gerrit Verdooren",,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
The Art Gallery of Jan Gildemeester Jansz,,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
The Art Gallery of Josephus Augustinus Brentano,,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
The Drawing Gallery of the Felix Meritis Society,,,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
The Sculpture Gallery of the Felix Meritis Society,,,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
Woman Baking Pancakes,,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaan De Lelie,Dutch,Portraitist,1755,1820
Portrait of a Man,Renaissance,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaen Thomasz. Key,Dutch,Renaissance,1544,1589
William of Orange,Renaissance,Portraits,Rijksmuseum,Amsterdam,Netherlands,Adriaen Thomasz. Key,Dutch,Renaissance,1544,1589
"A Distant View of Dordrecht, with a Milkmaid and Four Cows",Baroque,,National Gallery of Art,Washington,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
A Herdsman with Seven Cows by a River,Baroque,Rivers/Lakes,National Gallery,London,UK,Aelbert Cuyp,Dutch,Baroque,1620,1691
"A Landscape with Horseman, Herders and Cattle",Baroque,,,,,Aelbert Cuyp,Dutch,Baroque,1620,1691
A View of the Maas at Dordrecht,Baroque,,The J. Paul Getty Museum,Los Angeles,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
Cattle in a River,Baroque,Rivers/Lakes,,,,Aelbert Cuyp,Dutch,Baroque,1620,1691
Cattle Near a River,Baroque,Rivers/Lakes,,,,Aelbert Cuyp,Dutch,Baroque,1620,1691
"Cattle Near the Maas, with Dordrecht in the Distance",Baroque,,,,,Aelbert Cuyp,Dutch,Baroque,1620,1691
Cattle with Horseman and Peasants,Baroque,Horses,National Gallery,London,UK,Aelbert Cuyp,Dutch,Baroque,1620,1691
Children and a Cow,Baroque,,The Metropolitan Museum of Art,New York,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
Lady and Gentleman on Horseback,Baroque,Horses,National Gallery of Art,Washington,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
Landscape with Cattle,Baroque,,,,,Aelbert Cuyp,Dutch,Baroque,1620,1691
Landscape with Cows and Young Herdsman,Baroque,,Rijksmuseum,Amsterdam,Netherlands,Aelbert Cuyp,Dutch,Baroque,1620,1691
Landscape with Herdsman and Cattle,Baroque,,Rijksmuseum,Amsterdam,Netherlands,Aelbert Cuyp,Dutch,Baroque,1620,1691
Mountainous Landscape with the Ruins of a Castle,Baroque,,Rijksmuseum,Amsterdam,Netherlands,Aelbert Cuyp,Dutch,Baroque,1620,1691
Piping Shepherds,Baroque,,The Metropolitan Museum of Art,New York,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
River Landscape with Cows,Baroque,Rivers/Lakes,Rijksmuseum,Amsterdam,Netherlands,Aelbert Cuyp,Dutch,Baroque,1620,1691
River Landscape with Riders,Baroque,Rivers/Lakes,Rijksmuseum,Amsterdam,Netherlands,Aelbert Cuyp,Dutch,Baroque,1620,1691
River Scene,Baroque,Rivers/Lakes,Rijksmuseum,Amsterdam,Netherlands,Aelbert Cuyp,Dutch,Baroque,1620,1691
Rooster and Hens,Baroque,,,,,Aelbert Cuyp,Dutch,Baroque,1620,1691
Senior Merchant,Baroque,,Rijksmuseum,Amsterdam,Netherlands,Aelbert Cuyp,Dutch,Baroque,1620,1691
Starting for the Hunt,Baroque,,The Metropolitan Museum of Art,New York,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
The Flight into Egypt,Baroque,,Los Angeles County Museum of Art,Los Angeles,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
The Maas at Dordrecht,Baroque,,National Gallery of Art,Washington,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
The Passage Boat,Baroque,,,,,Aelbert Cuyp,Dutch,Baroque,1620,1691
Travelers in Hilly Countryside,Baroque,Rivers/Lakes,Cleveland Museum Of Art,Cleveland,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
View of Dordrecht at Sunset,Baroque,,Rijksmuseum,Amsterdam,Netherlands,Aelbert Cuyp,Dutch,Baroque,1620,1691
View of the Maas near Dordrecht,Baroque,,Los Angeles County Museum of Art,Los Angeles,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
Young Herdsmen with Cows,Baroque,,The Metropolitan Museum of Art,New York,USA,Aelbert Cuyp,Dutch,Baroque,1620,1691
Bouquet of Roses and Fruit,Expressionism,Flowers,The Metropolitan Museum of Art,New York,USA,Albert André,French,Expressionist,1869,1954
Bouquet of Roses,Expressionism,Flowers,,,,Albert André,French,Expressionist,1869,1954
Bridge Over the Seine in Paris,Expressionism,Bridges,,,,Albert André,French,Expressionist,1869,1954
Bridge Over the Seine in Paris,Expressionism,Rivers/Lakes,,,,Albert André,French,Expressionist,1869,1954
"Buses, Place Pigalle",Expressionism,,,,,Albert André,French,Expressionist,1869,1954
"Compote of Peaches and Pears, with Pitchers, on a Table",Expressionism,,The Metropolitan Museum of Art,New York,USA,Albert André,French,Expressionist,1869,1954
Dahlias,Expressionism,Flowers,,,,Albert André,French,Expressionist,1869,1954
Flower Vase and Fruits,Expressionism,Flowers,,,,Albert André,French,Expressionist,1869,1954
"In the Park, Edge of the Seine",Expressionism,Spring,,,,Albert André,French,Expressionist,1869,1954
Lady Reading,Expressionism,,,,,Albert André,French,Expressionist,1869,1954
Old Lady in White Seated,Expressionism,,,,,Albert André,French,Expressionist,1869,1954
Reading at the Garden,Expressionism,,,,,Albert André,French,Expressionist,1869,1954
Renoir and His Model,Expressionism,,The Metropolitan Museum of Art,New York,USA,Albert André,French,Expressionist,1869,1954
"Renoir Painting His Family in His Studio at 73 Rue De Caulaincourt, Paris",Expressionism,,,,,Albert André,French,Expressionist,1869,1954
Roses in a Glass,Expressionism,Flowers,,,,Albert André,French,Expressionist,1869,1954
Seated Woman,Expressionism,,,,,Albert André,French,Expressionist,1869,1954
Still Life,Expressionism,Flowers,,,,Albert André,French,Expressionist,1869,1954
Still Life,Expressionism,Still-Life,,,,Albert André,French,Expressionist,1869,1954
Still Life with Fruit and Brioche,Expressionism,Still-Life,The Metropolitan Museum of Art,New York,USA,Albert André,French,Expressionist,1869,1954
Table Setting with Fruit,Expressionism,,The Metropolitan Museum of Art,New York,USA,Albert André,French,Expressionist,1869,1954
"The Artist's Studio, A Still Life",Expressionism,,,,,Albert André,French,Expressionist,1869,1954
The Artist's Studio,Expressionism,,,,,Albert André,French,Expressionist,1869,1954
"The Bouquet (View from the Artist’s Studio, Paris)",Expressionism,Flowers,,,,Albert André,French,Expressionist,1869,1954
"The Dock of Grenelle, Paris",Expressionism,,,,,Albert André,French,Expressionist,1869,1954
Vase of Flower by the Window,Expressionism,Flowers,,,,Albert André,French,Expressionist,1869,1954
Vase of Flowers and Fruits on the Table,Expressionism,Flowers,,,,Albert André,French,Expressionist,1869,1954
White Vase with Flowers,Expressionism,Flowers,,,,Albert André,French,Expressionist,1869,1954
"A River Landscape, Westphalia",American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"A River Landscape, Westphalia",American Landscape,Rivers/Lakes,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"A Storm in the Rocky Mountains, Mt. Rosalie",American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
A Wild Stallion,American Landscape,Horses,,,,Albert Bierstadt,American,Hudson River School,1830,1902
A Wild Stallion,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"Among the Sierra Nevada Mountains, California",American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Autumn Landscape,American Landscape,Autumn/Fall,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Autumn Landscape,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Beached Ship,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
California Spring,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
California Spring,American Landscape,Spring,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"Canadian Rockies, Lake Louise",American Landscape,Landscape Art,The Metropolitan Museum of Art,New York,USA,Albert Bierstadt,American,Hudson River School,1830,1902
"Canadian Rockies, Lake Louise",American Landscape,Rivers/Lakes,The Metropolitan Museum of Art,New York,USA,Albert Bierstadt,American,Hudson River School,1830,1902
Canadian Rockies,American Landscape,,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"Cathedral Rocks, Yosemite Valley, California",American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Deer in a Field,American Landscape,Deers,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Deer in a Field,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Deer,American Landscape,Deers,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Deer,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"Estes Park, Colorado, Whyte's Lake",American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"Estes Park, Colorado, Whyte's Lake",American Landscape,Rivers/Lakes,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Farallon Island,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Fishing Boats,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Fishing Boats at Capri,American Landscape,,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Glen Ellis Falls,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Hetch Hetchy Canyon,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
In the Foothills,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
In the High Mountains,American Landscape,,,,,Albert Bierstadt,American,Hudson River School,1830,1902
In the Mountains,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
In the Mountains,American Landscape,Rivers/Lakes,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"In the Sierras, Lake Tahoe",American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"In the Sierras, Lake Tahoe",American Landscape,Rivers/Lakes,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Indian Canoe,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Indian Encampment Evening,American Landscape,,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Indian Hunters in Canoe,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Indians Spear Fishing,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Lake Tahoe,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Lake Tahoe,American Landscape,Rivers/Lakes,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"Liberty Cam, Yosemite",American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Light in the Forest,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
Bighorn Ram,American Landscape,Landscape Art,,,,Albert Bierstadt,American,Hudson River School,1830,1902
"Against the Light, Algiers",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Algiers, Gray Weather",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Algiers, The City seen from the Heights",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Algiers, View of Mustapha, Rain",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Algiers, View of the Casbah",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Amsterdam, Snow",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Anglers, La Chaume",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Arcueil, the Factory and the Aqueduct",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Ares,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Audierne, The Tonneaux",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Banks of the Seine, Paris",Post-Impressionism,Rivers/Lakes,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Bassin du Roy (Le Havre, France, Normandy)",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Bay of Algiers View of El-Biar,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Boats in Ciboure,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Boats in Collioure, Gray Weather",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Boats in the Port,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Boats in Triel,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Breeze in Porquerolles,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Calm Flat,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Cargo at Dock,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Cargo Leaving the Port,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Clouds and Smoke,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Cloudy Weather in Algiers,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Crans-sur-Sierre, Sledding",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Cypress and Trees in Bloom,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Daisies,Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Davos Under the Snow,Post-Impressionism,Winter,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Dock of Bourbon, Paris",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Dock of Grands Augustins, Paris",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
"Dock of Grands-Augustins, Under the Snow",Post-Impressionism,,,,,Albert Marquet,French,Post-Impressionist,1875,1947
Burkhard of Speyer,Renaissance,,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Christ Among the Doctors,Renaissance,Jesus Christ,Thussen-Bornemisza Museum,Madrid,Spain,Albrecht Durer,German,Northern Renaissance,1471,1528
Lot and His Daughters,Renaissance,,National Gallery of Art,Washington,USA,Albrecht Durer,German,Northern Renaissance,1471,1528
Madonna and Child (Haller Madonna),Renaissance,Christianity,National Gallery of Art,Washington,USA,Albrecht Durer,German,Northern Renaissance,1471,1528
Penitent Saint Jerome,Renaissance,Christianity,National Gallery,London,UK,Albrecht Durer,German,Northern Renaissance,1471,1528
Portrait of a Clergyman,Renaissance,Portraits,National Gallery of Art,Washington,USA,Albrecht Durer,German,Northern Renaissance,1471,1528
"Portrait of a Woman, Said to Be Caritas Pirckheimer",Renaissance,Portraits,The Metropolitan Museum of Art,New York,USA,Albrecht Durer,German,Northern Renaissance,1471,1528
Portrait of a Young Venetian Woman,Renaissance,Portraits,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Portrait of Barbara Durer,Renaissance,Portraits,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Portrait of Durer's Father at 70,Renaissance,Portraits,National Gallery,London,UK,Albrecht Durer,German,Northern Renaissance,1471,1528
Portrait of Emperor Maximillian I,Renaissance,Portraits,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Portrait of Hieronymus Holzschuher,Renaissance,Portraits,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Portrait of Jakob Muffel,Renaissance,Portraits,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Self-Portrait,Renaissance,Portraits,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Self-Portrait in a Fur Coat,Renaissance,Portraits,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Self-Portrait with Gloves,Renaissance,Portraits,The Prado Museum,Madrid,Spain,Albrecht Durer,German,Northern Renaissance,1471,1528
St. Anne with the Virgin and Child,Renaissance,Christianity,The Metropolitan Museum of Art,New York,USA,Albrecht Durer,German,Northern Renaissance,1471,1528
The Virgin and Child (The Madonna with the Iris),Renaissance,Christianity,National Gallery,London,UK,Albrecht Durer,German,Northern Renaissance,1471,1528
The Virgin Mary in Prayer,Renaissance,Christianity,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Vanitas,Renaissance,,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Virgin and Child,Renaissance,Christianity,,,,Albrecht Durer,German,Northern Renaissance,1471,1528
Albayde,Classicism,Nude,,,,Alexandre Cabanel,French,Classicist,1823,1889
Birth of Venus,Classicism,Nude,Musée d'Orsay,Paris,France,Alexandre Cabanel,French,Classicist,1823,1889
Echo,Classicism,Nude,The Metropolitan Museum of Art,New York,USA,Alexandre Cabanel,French,Classicist,1823,1889
La Chiaruccia,Classicism,,,,,Alexandre Cabanel,French,Classicist,1823,1889
Napoleon III,Classicism,,,,,Alexandre Cabanel,French,Classicist,1823,1889
Olivia Peyton Murray Cutting,Classicism,,,,,Alexandre Cabanel,French,Classicist,1823,1889
Portrait of Alfred Bruyas,Classicism,Portraits,,,,Alexandre Cabanel,French,Classicist,1823,1889
Portrait of an Arab,Classicism,Portraits,,,,Alexandre Cabanel,French,Classicist,1823,1889
Portrait of Catharine Lorillard Wolfe,Classicism,Portraits,The Metropolitan Museum of Art,New York,USA,Alexandre Cabanel,French,Classicist,1823,1889
Rebecca et Eliezer,Classicism,,,,,Alexandre Cabanel,French,Classicist,1823,1889
Saint Jean-Baptiste,Classicism,,,,,Alexandre Cabanel,French,Classicist,1823,1889
The Governess,Classicism,,Philadelphia Museum of Art,Philadelphia,USA,Alexandre Cabanel,French,Classicist,1823,1889
The Roman Monk,Classicism,,,,,Alexandre Cabanel,French,Classicist,1823,1889
Head of a Woman,Expressionism,,,,,Alexei Von Jawlensky,Russian,Expressionist,1864,1941
